,"from","to","Pharma R&D  Annual Review 2017"
231,"Cancer",611616,
232,"Cancer",603925,
233,"Cancer",609980,
234,"Cancer",610328,
235,"Cancer",600419,
236,"Cancer",607628,
237,"Cancer",611652,
238,"Cancer",605336,
239,"Cancer",602789,
240,"Cancer",611678,
241,"Cancer",611895,
242,"Cancer",601258,
243,"Cancer",600735,
244,"Cancer",610072,
245,"Cancer",605546,
246,"Cancer",611613,
247,"Cancer",601688,
248,"Cancer",608646,
249,"Cancer",601388,
250,"Cancer",601344,
251,"Cancer",602313,
252,"Cancer",801534,
253,"Cancer",608285,
254,"Cancer",602315,
255,"Cancer",608110,
256,"Cancer",612208,
257,"Cancer",610477,
258,"Cancer",601314,
259,"Cancer",602255,
260,"Cancer",606279,
261,"Cancer",607324,
262,"Cancer",611440,
263,"Cancer",601637,
264,"Cancer",803351,
265,"Cancer",603608,
266,"Cancer",602848,
267,"Cancer",605837,
268,"Cancer",805150,
269,"Cancer",612098,
270,"Cancer",606825,
271,"Cancer",608726,
272,"Cancer",608895,
273,"Cancer",604044,
274,"Cancer",602483,
275,"Cancer",607715,
276,"Cancer",608893,
277,"Cancer",600302,
278,"Cancer",805775,
279,"Cancer",610064,
280,"Cancer",801960,
281,"Cancer",802325,
282,"Cancer",804179,
283,"Cancer",607829,
284,"Cancer",601705,
285,"Cancer",608590,
286,"Cancer",802865,
287,"Cancer",610937,
288,"Cancer",609911,
289,"Cancer",606192,
290,"Cancer",611481,
291,"Cancer",603067,
292,"Cancer",609892,
293,"Cancer",605734,
294,"Cancer",802254,
295,"Cancer",610569,
296,"Cancer",605481,
297,"Cancer",805483,
298,"Cancer",604717,
299,"Cancer",609538,
300,"Cancer",611486,
301,"Cancer",601892,
302,"Cancer",607971,
303,"Cancer",608837,
304,"Cancer",605462,
305,"Cancer",802942,
306,"Cancer",609504,
307,"Cancer",802732,
308,"Cancer",606063,
309,"Cancer",611502,
310,"Cancer",801027,
311,"Cancer",607830,
312,"Cancer",609759,
313,"Cancer",610453,
314,"Cancer",610041,
315,"Cancer",610392,
316,"Cancer",610196,
317,"Cancer",611499,
318,"Cancer",610128,
319,"Cancer",800109,
320,"Cancer",608518,
321,"Cancer",605288,
322,"Cancer",610355,
323,"Cancer",610712,
324,"Cancer",610343,
325,"Cancer",610434,
326,"Cancer",609722,
327,"Cancer",801264,
328,"Cancer",803833,
329,"Cancer",601537,
330,"Cancer",605519,
331,"Cancer",801513,
332,"Cancer",605717,
333,"Cancer",606283,
334,"Cancer",607867,
335,"Cancer",802984,
336,"Cancer",611254,
337,"Cancer",603027,
338,"Cancer",603578,
339,"Cancer",608526,
340,"Cancer",805851,
341,"Cancer",603751,
342,"Cancer",609896,
343,"Cancer",601322,
344,"Cancer",601424,
345,"Cancer",600252,
346,"Cancer",611461,
347,"Cancer",604299,
348,"Cancer",606085,
349,"Cancer",610559,
350,"Cancer",602360,
351,"Cancer",603762,
352,"Cancer",801857,
353,"Cancer",606703,
354,"Cancer",602973,
355,"Cancer",604169,
356,"Cancer",603323,
357,"Cancer",602871,
358,"Cancer",804317,
359,"Cancer",606608,
360,"Cancer",609296,
361,"Cancer",801709,
362,"Cancer",610370,
363,"Cancer",611520,
364,"Cancer",803966,
365,"Cancer",605593,
366,"Cancer",609350,
367,"Cancer",801292,
368,"Cancer",602343,
369,"Cancer",801308,
370,"Cancer",604424,
371,"Cancer",602233,
372,"Cancer",609839,
373,"Cancer",802670,
374,"Cancer",608923,
375,"Cancer",609756,
376,"Cancer",603260,
377,"Cancer",612289,
378,"Cancer",601973,
379,"Cancer",604964,
380,"Cancer",601633,
381,"Cancer",606714,
382,"Cancer",605791,
383,"Cancer",610610,
384,"Cancer",600103,
385,"Cancer",800799,
386,"Cancer",603770,
387,"Cancer",802809,
388,"Cancer",605545,
389,"Cancer",803015,
390,"Cancer",607342,
